,imageid,Object ID,Parent,X_centroid,Y_centroid,leiden_Res0.3
1,20_6_N3_R3,bac85ba4-5bbd-43cc-8c9d-5aa482c4447b,Cortex/Paracortex,1210.2,1.621,3
3,20_6_N3_R3,e3560c1f-3b7b-4c46-883f-d21180bf041b,Cortex/Paracortex,505.04,1.858,9
4,20_6_N3_R3,05c2d60e-e326-440a-8229-e07d018d47b3,Cortex/Paracortex,2762.4,2.031,3
6,20_6_N3_R3,7ab2c3f5-e30d-4487-a8c5-56dc3309d424,Cortex/Paracortex,2730.2,2.672,8
7,20_6_N3_R3,24d2fdb0-870b-4f8b-b64f-9fc339fb75df,Cortex/Paracortex,399.33,9.462,9
8,20_6_N3_R3,9219da3b-466f-45ba-8edd-9432eb52ca7d,Cortex/Paracortex,2775.2,11.79,8
9,20_6_N3_R3,86110098-061a-46e2-8aa3-57bcfcbd35b4,Cortex/Paracortex,575.35,16.52,9
10,20_6_N3_R3,aa0e3c2f-e645-4d7b-8240-6289d73638f9,Cortex/Paracortex,966.81,18.48,5
11,20_6_N3_R3,225e7162-3dd8-4465-91d3-c390ed54a4aa,Cortex/Paracortex,2819.8,21.06,8
12,20_6_N3_R3,ed22e6f2-1a5a-4f4c-bbd2-5c5b700a5923,Cortex/Paracortex,1281.3,26.69,7
13,20_6_N3_R3,d58cbce4-24b2-4155-8df3-d80e8ebb3a46,Cortex/Paracortex,1149.0,44.33,2
15,20_6_N3_R3,b1d9a8bf-edb6-4e39-a939-c4270273e4ea,Cortex/Paracortex,2823.6,49.32,3
16,20_6_N3_R3,562353de-fb0c-4965-b9e7-59b898b89e60,Cortex/Paracortex,2607.5,62.18,7
17,20_6_N3_R3,bacd42e0-1a11-4cb6-a675-be1d6a937aab,Cortex/Paracortex,2857.5,79.9,3
18,20_6_N3_R3,10ac5b53-131c-4dd1-9a6c-0304503f535f,Cortex/Paracortex,1684.7,85.9,3
19,20_6_N3_R3,1d0db046-4bf5-4852-8981-c87aff523924,Cortex/Paracortex,1294.9,97.54,7
20,20_6_N3_R3,c8a0cc8d-abd0-4ef8-91fd-c219ef15e4ca,Cortex/Paracortex,1482.0,99.98,9
21,20_6_N3_R3,0697c4c7-4bfa-4a9f-801a-09d479fb4c48,Cortex/Paracortex,2875.2,107.91,8
22,20_6_N3_R3,4da4a89d-cb6d-43fc-96ba-faf6313c3507,Cortex/Paracortex,1420.6,110.72,5
23,20_6_N3_R3,eac180be-3406-4845-9f9c-4fb27ccdc214,Cortex/Paracortex,1395.3,121.32,7
24,20_6_N3_R3,60fac459-3714-4558-a5ae-4c43347c861d,Cortex/Paracortex,1328.6,124.52,8
25,20_6_N3_R3,7f0406e5-2b23-4c92-89c1-faec0eedb7bd,Cortex/Paracortex,1145.5,127.75,8
26,20_6_N3_R3,36c0f91d-ccc2-41e7-ab46-90bb482d13d7,Cortex/Paracortex,2887.3,131.53,8
27,20_6_N3_R3,0badb755-1b71-48a9-aaaa-6f55428fc97d,Cortex/Paracortex,1990.4,132.95,3
28,20_6_N3_R3,890fd8aa-4f48-4a68-892d-9a702cc5ca13,Cortex/Paracortex,1379.5,138.74,7
29,20_6_N3_R3,1c9fa76f-2380-4dff-a910-4243e80476ce,Cortex/Paracortex,1261.2,143.73,5
30,20_6_N3_R3,352fb1c8-980f-4c5d-8313-16d331f3fbc7,Cortex/Paracortex,2891.5,148.62,8
31,20_6_N3_R3,caebcb93-9b55-4ca5-891f-7a570cecace2,Cortex/Paracortex,482.98,148.94,7
32,20_6_N3_R3,83e185b9-e5da-43ab-8577-07a507ee4b63,Cortex/Paracortex,1849.5,154.84,2
33,20_6_N3_R3,d65f368d-3c72-4875-bcf0-0e2d7da25c2f,Cortex/Paracortex,881.26,155.77,5
34,20_6_N3_R3,1630d162-7659-43b4-b8ee-6d960cc2205a,Cortex/Paracortex,1695.9,157.16,7
35,20_6_N3_R3,b5f93bdd-1753-40a2-a350-ef0935216fdf,Cortex/Paracortex,1451.7,157.99,9
36,20_6_N3_R3,aeb95e32-bcd7-4403-9a09-d655fe96620d,Cortex/Paracortex,1278.0,160.22,5
37,20_6_N3_R3,9cce4416-e5d9-474b-a30b-4cd2146d4469,Cortex/Paracortex,1961.9,161.75,7
38,20_6_N3_R3,60ac9d7f-620f-4508-bd5f-6ea05a5bef35,Cortex/Paracortex,1042.4,166.08,5
