dataset,orange_path,n_cycles,n_cycle_dirs,channels,tile_rows,tile_cols,n_zplanes,xy_pixel_nm,z_step_nm,NA,RI,ch_names_file,raw_size_GB,first_cycle
CX_19-001_SP_CC2-A28,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-001_SP_CC2-A28/data/src_CX_19-001-SP_CC2-A28,13,13,4,7,9,19,377.4463383838384,1500.0,0.75,?,channelnames.txt,347.8,cyc001_reg001_210323_171230
CX_19-001_spleen_CC2-A,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-001_spleen_CC2-A/src_CX_19-001_spleen_CC2-A_D200211,9,9,4,11,9,13,377.4463383838384,1500.0,0.75,?,channelnames.txt,285.2,cyc001_reg001_200210_170925
CX_19-001_spleen_CC3-C,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-001_spleen_CC3-C/src_CX_19-001_spleen_CC3-C,9,9,4,9,9,25,377.4463383838384,1500.0,0.75,?,CHANNELNAMES.txt,496.9,cyc001_reg001_200214_103101
CX_19-002_lymph-node_R1,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-002_lymph-node_R1/src_CX_19-002_lymph-node_R1,9,9,4,9,7,18,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,266.2,cyc001_reg001_200212_144650
CX_19-002_lymph-node_R2,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-002_lymph-node_R2/src_CX_19-002_lymph-node_R2,9,9,4,9,7,18,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,291.8,cyc001_reg001_200212_153201
CX_19-002_lymph-node_R3,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-002_lymph-node_R3/src_CX_19-002_lymph-node_R3,9,9,4,9,7,18,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,287.3,cyc001_reg001_200212_161744
CX_19-003_SP_CC2-E28,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-003_SP_CC2-E28/data/src_CX_19-003_SP_CC2-E28,13,13,4,9,7,19,377.40384615384613,1500.0,0.75,?,channelnames.txt,364.6,cyc001_reg001_210326_165632
CX_19-003_lymph-node_R1,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-003_lymph-node_R1/src_CX_19-003_LN_1,9,9,4,9,7,20,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,307.7,cyc001_reg001_191213_110423
CX_19-003_lymph-node_R2,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-003_lymph-node_R2/src_CX_19-003_LN_R2,9,9,4,9,7,20,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,299.6,cyc001_reg001_191213_115422
CX_19-003_lymph-node_R3,/orange/maigan/HuBMAP_CODEX_LN-SP_Datasets/CX_19-003_lymph-node_R3/src_CX_19-003_LN_R3,9,9,4,9,7,20,377.40384615384613,1500.0,0.75,?,CHANNELNAMES.txt,308.9,cyc001_reg001_191213_124421
